#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALDH18A1	PLPP2	9606.ENSP00000360268	9606.ENSP00000329697	0.121	0	0	0	0.069	0	0	0.359	0.431
ALDH18A1	GPT2	9606.ENSP00000360268	9606.ENSP00000345282	0.247	0	0	0	0.088	0	0	0.530	0.649
ALDH18A1	TOP2A	9606.ENSP00000360268	9606.ENSP00000411532	0.098	0	0	0	0.139	0	0	0.353	0.453
ALDH18A1	PNPLA6	9606.ENSP00000360268	9606.ENSP00000407509	0.053	0	0	0	0.063	0	0.401	0.233	0.538
ALDH18A1	RECQL4	9606.ENSP00000360268	9606.ENSP00000482313	0.086	0	0	0	0.218	0.292	0	0.244	0.566
ALDH18A1	PAICS	9606.ENSP00000360268	9606.ENSP00000382595	0.257	0	0	0	0.181	0	0	0.398	0.601
ALDH18A1	PSAT1	9606.ENSP00000360268	9606.ENSP00000365773	0.356	0	0	0	0.321	0	0	0.668	0.842
ALDH18A1	PYCR1	9606.ENSP00000360268	9606.ENSP00000384949	0.272	0	0	0	0.454	0.095	0	0.956	0.982
ANGPT4	EDNRB	9606.ENSP00000371347	9606.ENSP00000366416	0	0	0	0	0	0	0	0.463	0.463
ANGPT4	TEK	9606.ENSP00000371347	9606.ENSP00000369375	0	0	0	0	0.126	0.582	0.900	0.995	0.999
ANLN	CDC6	9606.ENSP00000265748	9606.ENSP00000209728	0	0	0	0	0.423	0	0	0.301	0.579
ANLN	MYBL2	9606.ENSP00000265748	9606.ENSP00000217026	0	0	0	0	0.262	0	0	0.222	0.402
ANLN	NCAPH	9606.ENSP00000265748	9606.ENSP00000240423	0	0	0	0	0.433	0	0	0.505	0.707
ANLN	DLGAP5	9606.ENSP00000265748	9606.ENSP00000247191	0	0	0	0	0.828	0	0	0.523	0.914
ANLN	E2F8	9606.ENSP00000265748	9606.ENSP00000250024	0	0	0	0	0.354	0	0	0.291	0.522
ANLN	NCAPG	9606.ENSP00000265748	9606.ENSP00000251496	0	0	0	0	0.539	0	0	0.336	0.681
ANLN	GINS2	9606.ENSP00000265748	9606.ENSP00000253462	0	0	0	0	0.257	0	0	0.237	0.409
ANLN	CCNB1	9606.ENSP00000265748	9606.ENSP00000256442	0	0	0	0	0.607	0	0	0.657	0.860
ANLN	ESPL1	9606.ENSP00000265748	9606.ENSP00000257934	0	0	0	0	0.231	0	0	0.457	0.564
ANLN	KIF11	9606.ENSP00000265748	9606.ENSP00000260731	0	0	0	0	0.879	0	0	0.582	0.947
ANLN	NDC80	9606.ENSP00000265748	9606.ENSP00000261597	0	0	0	0	0.524	0	0	0.220	0.612
ANLN	GINS1	9606.ENSP00000265748	9606.ENSP00000262460	0	0	0	0	0.244	0	0	0.245	0.405
ANLN	DEPDC1B	9606.ENSP00000265748	9606.ENSP00000265036	0	0	0	0	0.502	0	0.400	0.200	0.740
ANLN	TICRR	9606.ENSP00000265748	9606.ENSP00000268138	0	0	0	0	0.318	0	0	0.167	0.408
ANLN	KIF18B	9606.ENSP00000265748	9606.ENSP00000465992	0	0	0	0	0.263	0	0	0.277	0.445
ANLN	ERCC6L	9606.ENSP00000265748	9606.ENSP00000334675	0	0	0	0	0.289	0	0	0.263	0.454
ANLN	STARD13	9606.ENSP00000265748	9606.ENSP00000338785	0	0	0	0	0	0	0	0.458	0.457
ANLN	GTSE1	9606.ENSP00000265748	9606.ENSP00000415430	0	0	0	0	0.271	0.163	0	0.218	0.481
ANLN	MCM10	9606.ENSP00000265748	9606.ENSP00000418268	0	0	0	0	0.395	0	0	0.179	0.482
ANLN	ZWINT	9606.ENSP00000265748	9606.ENSP00000363055	0	0	0	0	0.340	0	0	0.260	0.490
ANLN	SPTBN1	9606.ENSP00000265748	9606.ENSP00000349259	0	0	0	0	0.044	0.416	0	0.161	0.490
ANLN	CDC45	9606.ENSP00000265748	9606.ENSP00000405726	0	0	0	0	0.403	0	0	0.230	0.521
ANLN	CDC25C	9606.ENSP00000265748	9606.ENSP00000321656	0	0	0	0	0.439	0	0	0.196	0.530
ANLN	FOXM1	9606.ENSP00000265748	9606.ENSP00000342307	0	0	0	0	0.369	0	0	0.295	0.536
ANLN	RAD54L	9606.ENSP00000265748	9606.ENSP00000361043	0	0	0	0	0.353	0	0	0.319	0.541
ANLN	UHRF1	9606.ENSP00000265748	9606.ENSP00000479617	0	0	0	0	0.429	0	0	0.229	0.541
ANLN	SKA3	9606.ENSP00000265748	9606.ENSP00000319417	0	0	0	0	0.450	0	0	0.311	0.604
ANLN	CAV1	9606.ENSP00000265748	9606.ENSP00000339191	0	0	0	0	0.085	0.292	0.400	0.138	0.620
ANLN	CCNB2	9606.ENSP00000265748	9606.ENSP00000288207	0	0	0	0	0.415	0	0	0.398	0.633
ANLN	CHEK1	9606.ENSP00000265748	9606.ENSP00000391090	0	0	0	0	0.322	0	0	0.481	0.633
ANLN	KIF15	9606.ENSP00000265748	9606.ENSP00000324020	0	0	0	0	0.458	0	0	0.371	0.645
ANLN	CENPA	9606.ENSP00000265748	9606.ENSP00000336868	0	0	0	0	0.493	0	0	0.333	0.647
ANLN	CDCA3	9606.ENSP00000265748	9606.ENSP00000442068	0	0	0	0	0.490	0	0	0.341	0.649
ANLN	UBE2T	9606.ENSP00000265748	9606.ENSP00000494957	0	0	0	0	0.430	0	0	0.416	0.653
ANLN	CDCA5	9606.ENSP00000265748	9606.ENSP00000275517	0	0	0	0	0.518	0	0	0.348	0.672
ANLN	CDCA2	9606.ENSP00000265748	9606.ENSP00000328228	0	0	0	0	0.465	0	0	0.418	0.675
ANLN	HJURP	9606.ENSP00000265748	9606.ENSP00000414109	0	0	0	0	0.543	0	0	0.322	0.677
ANLN	SPAG5	9606.ENSP00000265748	9606.ENSP00000323300	0	0	0	0	0.437	0.292	0	0.302	0.697
ANLN	CDC20	9606.ENSP00000265748	9606.ENSP00000361540	0	0	0	0	0.472	0	0	0.456	0.701
ANLN	PLK1	9606.ENSP00000265748	9606.ENSP00000300093	0	0	0	0	0.392	0	0	0.531	0.703
ANLN	TTK	9606.ENSP00000265748	9606.ENSP00000358813	0	0	0	0	0.546	0	0	0.374	0.704
ANLN	MKI67	9606.ENSP00000265748	9606.ENSP00000357643	0	0	0	0	0.456	0.292	0	0.392	0.745
ANLN	CCNA2	9606.ENSP00000265748	9606.ENSP00000481380	0	0	0	0	0.614	0	0	0.370	0.747
ANLN	EXO1	9606.ENSP00000265748	9606.ENSP00000355506	0	0	0	0	0.487	0	0	0.541	0.754
ANLN	UBE2C	9606.ENSP00000265748	9606.ENSP00000348838	0	0	0	0	0.476	0	0	0.584	0.773
ANLN	BIRC5	9606.ENSP00000265748	9606.ENSP00000301633	0	0	0	0	0.399	0.292	0	0.527	0.781
ANLN	KIF4A	9606.ENSP00000265748	9606.ENSP00000363524	0	0	0	0	0.565	0	0	0.520	0.782
ANLN	RRM2	9606.ENSP00000265748	9606.ENSP00000353770	0	0	0	0	0.420	0	0	0.645	0.785
ANLN	NEK2	9606.ENSP00000265748	9606.ENSP00000355966	0	0	0	0	0.484	0.292	0	0.463	0.787
ANLN	CDCA8	9606.ENSP00000265748	9606.ENSP00000362146	0	0	0	0	0.479	0.292	0	0.475	0.789
ANLN	IQGAP3	9606.ENSP00000265748	9606.ENSP00000354451	0	0	0	0	0.244	0.486	0.400	0.225	0.795
ANLN	BUB1B	9606.ENSP00000265748	9606.ENSP00000287598	0	0	0	0	0.693	0	0	0.376	0.800
ANLN	PBK	9606.ENSP00000265748	9606.ENSP00000428489	0	0	0	0	0.696	0.052	0	0.397	0.811
ANLN	KIF2C	9606.ENSP00000265748	9606.ENSP00000361298	0	0	0	0	0.532	0	0	0.633	0.821
ANLN	KIF14	9606.ENSP00000265748	9606.ENSP00000356319	0	0	0	0	0.550	0.292	0	0.503	0.828
ANLN	MELK	9606.ENSP00000265748	9606.ENSP00000298048	0	0	0	0	0.587	0	0	0.608	0.831
ANLN	CKAP2L	9606.ENSP00000265748	9606.ENSP00000305204	0	0	0	0	0.759	0	0	0.355	0.837
ANLN	CENPF	9606.ENSP00000265748	9606.ENSP00000355922	0	0	0	0	0.578	0.292	0	0.515	0.842
ANLN	AURKB	9606.ENSP00000265748	9606.ENSP00000313950	0	0	0	0	0.450	0.292	0	0.636	0.846
ANLN	DEPDC1	9606.ENSP00000265748	9606.ENSP00000412292	0	0	0	0	0.774	0	0	0.353	0.847
ANLN	TOP2A	9606.ENSP00000265748	9606.ENSP00000411532	0	0	0	0	0.613	0.292	0	0.533	0.861
ANLN	HMMR	9606.ENSP00000265748	9606.ENSP00000377492	0	0	0	0	0.764	0	0	0.513	0.880
ANLN	NUF2	9606.ENSP00000265748	9606.ENSP00000271452	0	0	0	0	0.809	0	0	0.482	0.897
ANLN	ASPM	9606.ENSP00000265748	9606.ENSP00000356379	0	0	0	0	0.750	0.292	0	0.480	0.900
ANLN	TPX2	9606.ENSP00000265748	9606.ENSP00000300403	0	0	0	0	0.774	0	0	0.673	0.923
ANLN	CEP55	9606.ENSP00000265748	9606.ENSP00000360540	0	0	0	0	0.778	0.292	0	0.592	0.930
ANLN	KIF20A	9606.ENSP00000265748	9606.ENSP00000378356	0	0	0	0	0.823	0.328	0	0.607	0.949
AOC3	PECAM1	9606.ENSP00000312326	9606.ENSP00000457421	0	0	0	0	0.166	0	0	0.506	0.570
ARHGAP6	ESPL1	9606.ENSP00000338967	9606.ENSP00000257934	0	0	0	0	0.399	0	0	0.102	0.437
ARHGAP6	KIF11	9606.ENSP00000338967	9606.ENSP00000260731	0	0	0	0	0.395	0	0	0.085	0.423
ARHGAP6	NDC80	9606.ENSP00000338967	9606.ENSP00000261597	0	0	0	0	0.400	0	0	0	0.400
ARHGAP6	TTK	9606.ENSP00000338967	9606.ENSP00000358813	0	0	0	0	0.438	0	0	0	0.438
ARHGAP6	ASPM	9606.ENSP00000338967	9606.ENSP00000356379	0	0	0	0	0.537	0.094	0	0	0.562
ARHGEF15	SEMA3G	9606.ENSP00000355026	9606.ENSP00000231721	0	0	0	0	0.256	0	0	0.489	0.603
ARHGEF15	FGD5	9606.ENSP00000355026	9606.ENSP00000285046	0	0	0	0	0.283	0	0	0.504	0.629
ARHGEF15	CEP55	9606.ENSP00000355026	9606.ENSP00000360540	0	0	0	0	0	0.470	0	0	0.470
ARHGEF39	SGO1	9606.ENSP00000367638	9606.ENSP00000263753	0	0	0	0	0.403	0	0	0	0.403
ARHGEF39	MELK	9606.ENSP00000367638	9606.ENSP00000298048	0	0	0	0	0.311	0	0	0.275	0.480
ARHGEF39	KIF18B	9606.ENSP00000367638	9606.ENSP00000465992	0	0	0	0	0.400	0	0	0	0.400
ASPM	CDC6	9606.ENSP00000356379	9606.ENSP00000209728	0	0	0	0	0.520	0	0	0.247	0.623
ASPM	MYBL2	9606.ENSP00000356379	9606.ENSP00000217026	0	0	0	0	0.437	0	0	0.222	0.543
ASPM	ORC6	9606.ENSP00000356379	9606.ENSP00000219097	0	0	0	0	0.260	0	0	0.370	0.514
ASPM	NCAPH	9606.ENSP00000356379	9606.ENSP00000240423	0	0	0	0	0.667	0.099	0	0.579	0.862
ASPM	DLGAP5	9606.ENSP00000356379	9606.ENSP00000247191	0	0	0	0	0.974	0	0	0.799	0.994
ASPM	E2F8	9606.ENSP00000356379	9606.ENSP00000250024	0	0	0	0	0.601	0	0	0.193	0.664
ASPM	NCAPG	9606.ENSP00000356379	9606.ENSP00000251496	0	0	0	0	0.910	0	0	0.702	0.972
ASPM	GINS2	9606.ENSP00000356379	9606.ENSP00000253462	0	0	0	0	0.401	0	0	0.425	0.641
ASPM	CCNB1	9606.ENSP00000356379	9606.ENSP00000256442	0	0	0	0	0.838	0	0	0.714	0.952
ASPM	TROAP	9606.ENSP00000356379	9606.ENSP00000257909	0	0	0	0	0.648	0	0	0.358	0.764
ASPM	ESPL1	9606.ENSP00000356379	9606.ENSP00000257934	0	0	0	0	0.759	0.087	0	0.401	0.857
ASPM	KIF11	9606.ENSP00000356379	9606.ENSP00000260731	0	0	0	0	0.962	0.079	0	0.714	0.989
ASPM	NDC80	9606.ENSP00000356379	9606.ENSP00000261597	0	0	0	0	0.959	0.160	0	0.170	0.969
ASPM	GINS1	9606.ENSP00000356379	9606.ENSP00000262460	0	0	0	0	0.288	0	0	0.523	0.646
ASPM	SGO1	9606.ENSP00000356379	9606.ENSP00000263753	0	0	0	0	0.634	0	0	0.305	0.734
ASPM	POLQ	9606.ENSP00000356379	9606.ENSP00000264233	0	0	0	0	0.533	0	0	0	0.533
ASPM	NEIL3	9606.ENSP00000356379	9606.ENSP00000264596	0	0	0	0	0.475	0	0	0.103	0.509
ASPM	DEPDC1B	9606.ENSP00000356379	9606.ENSP00000265036	0	0	0	0	0.527	0	0	0.292	0.651
ASPM	ANLN	9606.ENSP00000356379	9606.ENSP00000265748	0	0	0	0	0.750	0.292	0	0.480	0.900
ASPM	TICRR	9606.ENSP00000356379	9606.ENSP00000268138	0	0	0	0	0.551	0	0	0	0.551
ASPM	NUF2	9606.ENSP00000356379	9606.ENSP00000271452	0	0	0	0	0.944	0	0	0.665	0.980
ASPM	CDCA5	9606.ENSP00000356379	9606.ENSP00000275517	0	0	0	0	0.583	0	0	0.418	0.746
ASPM	BUB1B	9606.ENSP00000356379	9606.ENSP00000287598	0	0	0	0	0.928	0.111	0	0.628	0.974
ASPM	CCNB2	9606.ENSP00000356379	9606.ENSP00000288207	0	0	0	0	0.840	0	0	0.709	0.951
ASPM	MELK	9606.ENSP00000356379	9606.ENSP00000298048	0	0	0	0	0.818	0	0	0.715	0.946
ASPM	PLK1	9606.ENSP00000356379	9606.ENSP00000300093	0	0	0	0	0.455	0.091	0	0.451	0.704
ASPM	TPX2	9606.ENSP00000356379	9606.ENSP00000300403	0	0	0	0	0.827	0	0	0.717	0.949
ASPM	BIRC5	9606.ENSP00000356379	9606.ENSP00000301633	0	0	0	0	0.748	0	0	0.540	0.879
ASPM	CKAP2L	9606.ENSP00000356379	9606.ENSP00000305204	0	0	0	0	0.724	0	0	0.595	0.883
ASPM	AURKB	9606.ENSP00000356379	9606.ENSP00000313950	0	0	0	0	0.608	0	0	0.732	0.890
ASPM	SKA3	9606.ENSP00000356379	9606.ENSP00000319417	0	0	0	0	0.546	0	0	0.310	0.673
ASPM	EZH2	9606.ENSP00000356379	9606.ENSP00000320147	0	0	0	0	0.353	0	0	0.167	0.438
ASPM	CDC25C	9606.ENSP00000356379	9606.ENSP00000321656	0	0	0	0	0.524	0	0	0.225	0.615
ASPM	SPAG5	9606.ENSP00000356379	9606.ENSP00000323300	0	0	0	0	0.855	0.043	0	0.640	0.945
ASPM	KIF15	9606.ENSP00000356379	9606.ENSP00000324020	0	0	0	0	0.895	0	0	0.743	0.971
ASPM	CDCA2	9606.ENSP00000356379	9606.ENSP00000328228	0	0	0	0	0.777	0	0	0.295	0.836
ASPM	ERCC6L	9606.ENSP00000356379	9606.ENSP00000334675	0	0	0	0	0.442	0	0	0.342	0.617
ASPM	CENPA	9606.ENSP00000356379	9606.ENSP00000336868	0	0	0	0	0.800	0	0	0.352	0.865
ASPM	ARHGAP6	9606.ENSP00000356379	9606.ENSP00000338967	0	0	0	0	0.537	0.094	0	0	0.562
ASPM	FOXM1	9606.ENSP00000356379	9606.ENSP00000342307	0	0	0	0	0.668	0	0	0.561	0.848
ASPM	UBE2C	9606.ENSP00000356379	9606.ENSP00000348838	0	0	0	0	0.835	0	0	0.673	0.943
ASPM	RRM2	9606.ENSP00000356379	9606.ENSP00000353770	0	0	0	0	0.626	0	0	0.627	0.854
ASPM	IQGAP3	9606.ENSP00000356379	9606.ENSP00000354451	0	0	0	0.547	0.577	0	0	0.128	0.615
ASPM	EXO1	9606.ENSP00000356379	9606.ENSP00000355506	0	0	0	0	0.792	0	0	0.295	0.848
ASPM	CENPF	9606.ENSP00000356379	9606.ENSP00000355922	0	0	0	0	0.938	0	0	0.802	0.987
ASPM	NEK2	9606.ENSP00000356379	9606.ENSP00000355966	0	0	0	0	0.837	0	0	0.507	0.916
ASPM	KIF14	9606.ENSP00000356379	9606.ENSP00000356319	0	0	0	0	0.876	0.292	0	0.617	0.963
ASPM	RCC1	9606.ENSP00000356379	9606.ENSP00000497402	0	0	0	0	0.173	0	0	0.374	0.461
ASPM	UHRF1	9606.ENSP00000356379	9606.ENSP00000479617	0	0	0	0	0.474	0	0	0.213	0.569
ASPM	CHEK1	9606.ENSP00000356379	9606.ENSP00000391090	0	0	0	0	0.500	0	0	0.320	0.645
ASPM	RAD54L	9606.ENSP00000356379	9606.ENSP00000361043	0	0	0	0	0.436	0	0	0.434	0.667
ASPM	GTSE1	9606.ENSP00000356379	9606.ENSP00000415430	0	0	0	0	0.537	0	0	0.356	0.689
ASPM	CDC45	9606.ENSP00000356379	9606.ENSP00000405726	0	0	0	0	0.599	0	0	0.290	0.703
ASPM	MCM10	9606.ENSP00000356379	9606.ENSP00000418268	0	0	0	0	0.533	0	0	0.431	0.723
ASPM	KIF18B	9606.ENSP00000356379	9606.ENSP00000465992	0	0	0	0	0.641	0.061	0	0.271	0.733
ASPM	ZWINT	9606.ENSP00000356379	9606.ENSP00000363055	0	0	0	0	0.527	0	0	0.632	0.818
ASPM	UBE2T	9606.ENSP00000356379	9606.ENSP00000494957	0	0	0	0	0.780	0	0	0.246	0.827
ASPM	DEPDC1	9606.ENSP00000356379	9606.ENSP00000412292	0	0	0	0	0.805	0	0	0.318	0.861
ASPM	CDCA3	9606.ENSP00000356379	9606.ENSP00000442068	0	0	0	0	0.773	0	0	0.425	0.864
ASPM	HMMR	9606.ENSP00000356379	9606.ENSP00000377492	0	0	0	0	0.809	0.043	0	0.640	0.928
ASPM	HJURP	9606.ENSP00000356379	9606.ENSP00000414109	0	0	0	0	0.855	0	0	0.545	0.931
ASPM	KIF2C	9606.ENSP00000356379	9606.ENSP00000361298	0	0	0	0	0.851	0	0	0.589	0.936
ASPM	CCNA2	9606.ENSP00000356379	9606.ENSP00000481380	0	0	0	0	0.865	0	0	0.603	0.944
ASPM	CEP55	9606.ENSP00000356379	9606.ENSP00000360540	0	0	0	0	0.842	0	0	0.700	0.950
ASPM	CDCA8	9606.ENSP00000356379	9606.ENSP00000362146	0	0	0	0	0.908	0	0	0.480	0.950
ASPM	PBK	9606.ENSP00000356379	9606.ENSP00000428489	0	0	0	0	0.841	0.046	0	0.703	0.951
ASPM	KIF4A	9606.ENSP00000356379	9606.ENSP00000363524	0	0	0	0	0.900	0	0	0.536	0.952
ASPM	TTK	9606.ENSP00000356379	9606.ENSP00000358813	0	0	0	0	0.912	0	0	0.530	0.957
ASPM	MKI67	9606.ENSP00000356379	9606.ENSP00000357643	0	0	0	0	0.895	0.099	0	0.635	0.962
ASPM	CDC20	9606.ENSP00000356379	9606.ENSP00000361540	0	0	0	0	0.900	0.111	0	0.715	0.972
ASPM	STIL	9606.ENSP00000356379	9606.ENSP00000360944	0	0	0	0	0.477	0.164	0	0.942	0.972
ASPM	KIF20A	9606.ENSP00000356379	9606.ENSP00000378356	0	0	0	0	0.900	0.048	0	0.765	0.975
ASPM	TOP2A	9606.ENSP00000356379	9606.ENSP00000411532	0	0	0	0	0.983	0	0	0.804	0.996
AURKB	CDC6	9606.ENSP00000313950	9606.ENSP00000209728	0	0	0	0	0.477	0.075	0	0.724	0.855
AURKB	MYBL2	9606.ENSP00000313950	9606.ENSP00000217026	0	0	0	0	0.523	0.051	0	0.400	0.704
AURKB	NCAPH	9606.ENSP00000313950	9606.ENSP00000240423	0	0	0	0	0.573	0.443	0	0.650	0.909
AURKB	DLGAP5	9606.ENSP00000313950	9606.ENSP00000247191	0	0	0	0	0.737	0	0	0.818	0.950
AURKB	E2F8	9606.ENSP00000313950	9606.ENSP00000250024	0	0	0	0	0.506	0	0	0.312	0.646
AURKB	NCAPG	9606.ENSP00000313950	9606.ENSP00000251496	0	0	0	0	0.711	0.075	0	0.700	0.913
AURKB	GINS2	9606.ENSP00000313950	9606.ENSP00000253462	0	0	0	0	0.515	0	0	0.246	0.619
AURKB	CCNB1	9606.ENSP00000313950	9606.ENSP00000256442	0	0	0	0	0.587	0.094	0.400	0.851	0.962
AURKB	TROAP	9606.ENSP00000313950	9606.ENSP00000257909	0	0	0	0	0.801	0	0	0.212	0.836
AURKB	ESPL1	9606.ENSP00000313950	9606.ENSP00000257934	0	0	0	0	0.608	0	0.500	0.932	0.985
AURKB	KIF11	9606.ENSP00000313950	9606.ENSP00000260731	0	0	0	0	0.768	0.272	0	0.804	0.964
AURKB	NDC80	9606.ENSP00000313950	9606.ENSP00000261597	0	0	0	0	0.746	0.474	0	0.856	0.979
AURKB	PKMYT1	9606.ENSP00000313950	9606.ENSP00000262300	0	0	0.129	0.595	0.369	0.071	0	0.216	0.547
AURKB	FOXF1	9606.ENSP00000313950	9606.ENSP00000262426	0	0	0	0	0.055	0.051	0	0.386	0.401
AURKB	GINS1	9606.ENSP00000313950	9606.ENSP00000262460	0	0	0	0	0.331	0	0	0.386	0.571
AURKB	SGO1	9606.ENSP00000313950	9606.ENSP00000263753	0	0	0	0	0.542	0.292	0	0.912	0.969
AURKB	NEIL3	9606.ENSP00000313950	9606.ENSP00000264596	0	0	0	0	0.357	0	0	0.124	0.413
AURKB	DEPDC1B	9606.ENSP00000313950	9606.ENSP00000265036	0	0	0	0	0.462	0	0	0.434	0.682
AURKB	ANLN	9606.ENSP00000313950	9606.ENSP00000265748	0	0	0	0	0.450	0.292	0	0.636	0.846
AURKB	TICRR	9606.ENSP00000313950	9606.ENSP00000268138	0	0	0	0	0.439	0	0	0.128	0.490
AURKB	NUF2	9606.ENSP00000313950	9606.ENSP00000271452	0	0	0	0	0.606	0.292	0	0.835	0.950
AURKB	CDCA5	9606.ENSP00000313950	9606.ENSP00000275517	0	0	0	0	0.672	0	0	0.907	0.968
AURKB	BUB1B	9606.ENSP00000313950	9606.ENSP00000287598	0	0	0	0	0.637	0.327	0.500	0.992	0.999
AURKB	CCNB2	9606.ENSP00000313950	9606.ENSP00000288207	0	0	0	0	0.844	0.094	0.400	0.901	0.990
AURKB	MELK	9606.ENSP00000313950	9606.ENSP00000298048	0	0	0.095	0.735	0.805	0.045	0	0.489	0.902
AURKB	PLK1	9606.ENSP00000313950	9606.ENSP00000300093	0	0	0	0.744	0.789	0.212	0.500	0.351	0.939
AURKB	TPX2	9606.ENSP00000313950	9606.ENSP00000300403	0	0	0	0	0.687	0.297	0	0.750	0.940
AURKB	BIRC5	9606.ENSP00000313950	9606.ENSP00000301633	0	0	0	0	0.764	0.944	0.800	0.996	0.999
AURKB	CKAP2L	9606.ENSP00000313950	9606.ENSP00000305204	0	0	0	0	0.499	0	0	0.498	0.737
AURKB	ALDH18A1	9606.ENSP00000313950	9606.ENSP00000360268	0	0	0	0	0.137	0	0	0.343	0.409
AURKB	IQGAP3	9606.ENSP00000313950	9606.ENSP00000354451	0	0	0	0	0.378	0	0	0.117	0.427
AURKB	RECQL4	9606.ENSP00000313950	9606.ENSP00000482313	0	0	0	0	0.270	0.096	0	0.203	0.429
AURKB	UBE2T	9606.ENSP00000313950	9606.ENSP00000494957	0	0	0	0	0.309	0.067	0	0.193	0.435
AURKB	STIL	9606.ENSP00000313950	9606.ENSP00000360944	0	0	0	0	0.297	0	0	0.255	0.454
AURKB	RCC1	9606.ENSP00000313950	9606.ENSP00000497402	0	0	0	0	0.239	0	0	0.428	0.546
AURKB	RAD54L	9606.ENSP00000313950	9606.ENSP00000361043	0	0	0	0	0.462	0.051	0	0.216	0.564
AURKB	DEPDC1	9606.ENSP00000313950	9606.ENSP00000412292	0	0	0	0	0.435	0	0	0.269	0.569
AURKB	ERCC6L	9606.ENSP00000313950	9606.ENSP00000334675	0	0	0	0	0.437	0.051	0	0.335	0.614
AURKB	UHRF1	9606.ENSP00000313950	9606.ENSP00000479617	0	0	0	0	0.458	0	0	0.321	0.616
AURKB	EZH2	9606.ENSP00000313950	9606.ENSP00000320147	0	0	0	0	0.262	0.102	0	0.568	0.689
AURKB	MCM10	9606.ENSP00000313950	9606.ENSP00000418268	0	0	0	0	0.585	0	0	0.376	0.730
AURKB	KIF18B	9606.ENSP00000313950	9606.ENSP00000465992	0	0	0	0	0.554	0.094	0	0.435	0.752
AURKB	CHEK1	9606.ENSP00000313950	9606.ENSP00000391090	0	0	0	0.624	0.475	0.075	0	0.534	0.754
AURKB	CDCA2	9606.ENSP00000313950	9606.ENSP00000328228	0	0	0	0	0.456	0	0	0.571	0.756
AURKB	HMMR	9606.ENSP00000313950	9606.ENSP00000377492	0	0	0	0	0.510	0	0	0.529	0.760
AURKB	NEK2	9606.ENSP00000313950	9606.ENSP00000355966	0	0	0.120	0.688	0.585	0	0	0.455	0.783
