"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000182010.11",2068.93189877137,-4.06768470125319,0.176100124782983,-23.0987042528562,4.77091676749479e-118,1.04745477630348e-114,"RTKN2"
"ENSG00000286042.1",1283.2932846971,7.8340297806561,0.340291804176394,23.0215059090734,2.83910975900171e-117,5.93644331036976e-114,"LCAL1"
"ENSG00000120156.22",941.959510289976,-3.25504862552452,0.141579259073777,-22.9909991535435,5.73540126578395e-117,1.14473395263897e-113,"TEK"
"ENSG00000186193.9",446.473026079696,3.79878941635378,0.165554757747639,22.9458184593185,1.62216385488868e-116,3.09692238557226e-113,"SAPCD2"
"ENSG00000070778.13",1153.60115831281,-2.44960605480788,0.107146405698904,-22.8622326510102,1.10435668810242e-115,2.02051259060739e-112,"PTPN21"
"ENSG00000122679.8",1094.85507128462,-3.23362026950206,0.142225813354758,-22.7358184370958,1.98242805521371e-114,3.48193663617737e-111,"RAMP3"
"ENSG00000090889.12",839.020697364044,3.81127980238813,0.167820826104273,22.7104102086832,3.53527234876641e-114,5.97053110901281e-111,"KIF4A"
"ENSG00000077152.11",826.416831459081,3.3099485856487,0.147043862189029,22.5099404788053,3.31715653896902e-112,5.39467939356036e-109,"UBE2T"
"ENSG00000132622.11",424.634229339175,-2.79712893953787,0.124340852168946,-22.4956552150481,4.57770917602802e-112,7.17882892569252e-109,"HSPA12B"
"ENSG00000157654.19",6105.86885340633,-2.51266689817546,0.111893372652178,-22.4559045689516,1.12053028067574e-111,1.69663740084385e-108,"PALM2AKAP2"
"ENSG00000254726.3",1302.82024921684,4.16535115564742,0.185844217483034,22.4131329565187,2.9307594506779e-111,4.28965491597555e-108,"MEX3A"
"ENSG00000168309.18",1698.05849071651,-4.5571136627906,0.203573745376484,-22.385566735842,5.44094534107766e-111,7.70683580408774e-108,"FAM107A"
"ENSG00000143320.9",7890.96644432343,5.56434313718907,0.249825979044536,22.2728763376411,6.77123389542063e-110,9.29140251087249e-107,"CRABP2"
"ENSG00000128165.9",742.546244868252,3.45477839608745,0.155786291843129,22.1763953375711,5.80475323941068e-109,7.72383984068252e-106,"ADM2"
"ENSG00000137648.19",5364.69617372533,4.81637649058648,0.217584373516817,22.1356727633486,1.43357787729967e-108,1.8514236644773e-105,"TMPRSS4"
"ENSG00000117650.13",677.009333918192,3.73141762928185,0.168850529867128,22.0989394123796,3.23578067052493e-108,4.05951797836428e-105,"NEK2"
"ENSG00000131477.11",908.480362879284,-2.87152593675994,0.130018155890243,-22.0855765650452,4.34961833318676e-108,5.30532613917307e-105,"RAMP2"
"ENSG00000118193.12",438.760025349104,3.75065006901283,0.169853591574886,22.0816647692682,4.7429112377096e-108,5.62868195804942e-105,"KIF14"
"ENSG00000169744.13",979.915039237993,-2.58988584250434,0.11735278031357,-22.069232919613,6.24418517305389e-108,7.21532028812622e-105,"LDB2"
"ENSG00000123485.12",686.022272830897,3.84565786205978,0.17427455710733,22.0666626608689,6.60936108856268e-108,7.44146270253301e-105,"HJURP"
"ENSG00000144452.15",587.946105419655,5.39746760244066,0.244776974664929,22.0505527933302,9.43640979194301e-108,1.03588188491054e-104,"ABCA12"
"ENSG00000164855.16",1878.97168385087,3.1233566158206,0.141870584745609,22.0155335330517,2.04450209488437e-107,2.18961187771641e-104,"TMEM184A"
"ENSG00000151718.16",1994.56360961994,-2.36035254317592,0.107473993423897,-21.9620809460969,6.63881752857178e-107,6.94072565903778e-104,"WWC2"
"ENSG00000158402.20",195.601458080835,3.68206507642494,0.167789831189996,21.9445067100376,9.77221810927717e-107,9.97902551577582e-104,"CDC25C"
"ENSG00000276043.5",681.146908847943,3.34668035865284,0.152647410309212,21.9242524447261,1.52522619988061e-106,1.52210641901721e-103,"UHRF1"
"ENSG00000066279.18",984.59299920189,3.73312871215138,0.171081926296383,21.8207077332301,1.47558085717258e-105,1.43983900974329e-102,"ASPM"
"ENSG00000123500.10",2765.54875267295,4.62621702123465,0.212518624751465,21.7685251193626,4.61234350702825e-105,4.40278268246979e-102,"COL10A1"
"ENSG00000080031.10",729.906671314409,5.19079592166472,0.239935184218402,21.6341589857859,8.56977962482738e-104,8.00636219842916e-101,"PTPRH"
"ENSG00000099953.10",6271.14199956951,5.51760045190878,0.25509548001433,21.6295500476873,9.47023817602294e-104,8.66329496477432e-101,"MMP11"
"ENSG00000136160.17",1512.26964993833,-3.50209569055048,0.162061628170214,-21.6096538711323,1.45736902137969e-103,1.30598109650576e-100,"EDNRB"
"ENSG00000011426.11",2010.28034704674,3.76728695230741,0.174425762656586,21.5982254853289,1.86648630113511e-103,1.63914826965685e-100,"ANLN"
"ENSG00000126787.13",726.64766988645,3.67241109740376,0.170086733762579,21.5914023167145,2.16347853448009e-103,1.86271259703962e-100,"DLGAP5"
"ENSG00000135052.16",13074.1463453725,2.63234529963219,0.121923114487543,21.5902071620811,2.22015459113794e-103,1.87474977109359e-100,"GOLM1"
"ENSG00000117724.13",2336.17130411511,3.4862337451466,0.161554132490075,21.5793535665872,2.8076560907405e-103,2.32611658385689e-100,"CENPF"
"ENSG00000154133.15",1264.11013919322,-2.85578323510177,0.132579823043514,-21.5401044408128,6.55588587390358e-103,5.3309064578353e-100,"ROBO4"
"ENSG00000117399.14",1513.02828183805,3.75898120807849,0.174569078318151,21.532915475602,7.65623886394975e-103,6.11246270029152e-100,"CDC20"
"ENSG00000105227.16",1111.91400510637,-3.35892395319374,0.156004735494935,-21.5309102158812,7.99479466444612e-103,6.26877560206838e-100,"PRX"
"ENSG00000072163.20",1194.57241892318,-2.81889069560271,0.131101708711357,-21.5015557257838,1.50555572361049e-102,1.13980951420236e-99,"LIMS2"
"ENSG00000164932.13",3128.39134769819,3.78908851295874,0.176217889988666,21.5022919250846,1.48186034471745e-102,1.13980951420236e-99,"CTHRC1"
"ENSG00000179776.19",3096.61662557979,-2.5597618765478,0.119408651574783,-21.436988382242,6.03979740122072e-102,4.49504243877291e-99,"CDH5"
"ENSG00000186871.7",206.019971439607,3.29275184077704,0.153610770016983,21.4356834511864,6.21150999392027e-102,4.54579006388398e-99,"ERCC6L"
"ENSG00000227066.2",484.708553318777,6.06885463178261,0.283364312561759,21.4171452181718,9.24861082437346e-102,6.65748362783998e-99,"Z98257.1"
"ENSG00000175063.17",1678.80749930533,4.17534841346962,0.195000339204491,21.4120058995952,1.03270703949785e-101,7.31389775876626e-99,"UBE2C"
"ENSG00000143228.13",558.960884867996,3.70112667117685,0.172988378740319,21.3952330100324,1.47988496229804e-101,1.03145632848424e-98,"NUF2"
"ENSG00000154721.15",708.934717436096,-2.51298153104638,0.117554188140198,-21.3772182072266,2.17726979718088e-101,1.49381119990957e-98,"JAM2"
"ENSG00000142945.13",926.63257772929,3.56548695325415,0.166955920208736,21.3558581738007,3.43995035136695e-101,2.32381876813112e-98,"KIF2C"
"ENSG00000094804.12",949.969876720984,3.41259824415333,0.160336582611237,21.2839651973109,1.59836508692206e-100,1.06339713585982e-97,"CDC6"
"ENSG00000156970.13",525.052196555917,3.41884154071303,0.160720299662185,21.2719958082398,2.06313316297769e-100,1.35212204755747e-97,"BUB1B"
"ENSG00000166923.12",2730.16551283449,5.04114994748336,0.237034913054838,21.267541909816,2.26861078457766e-100,1.46492205221772e-97,"GREM1"
"ENSG00000262772.2",104.342724325995,4.78809497529595,0.225420054412075,21.2407675429941,4.01279657181495e-100,2.55365068794774e-97,"LINC01977"
"ENSG00000196584.3",297.217645294075,3.23167042218829,0.152272777541491,21.2229032290932,5.8686127104329e-100,3.68129691593012e-97,"XRCC2"
"ENSG00000112984.12",850.033437953143,3.14766965983544,0.148398699594592,21.2108978611977,7.57534064786785e-100,4.68497475842081e-97,"KIF20A"
"ENSG00000129173.13",329.763631916999,3.15764727672424,0.149206531437322,21.1629293054821,2.09776598404464e-99,1.27934589388056e-96,"E2F8"
"ENSG00000186185.14",560.393920193411,3.76147785294093,0.177917009090276,21.1417552047108,3.28626411127665e-99,1.9767103715912e-96,"KIF18B"
"ENSG00000165304.8",685.714936463742,3.61035236062965,0.170829651912785,21.1342253537627,3.85461816909632e-99,2.28724707844621e-96,"MELK"
"ENSG00000019186.10",4174.65783914542,6.69224178660055,0.317079405323239,21.105886015455,7.02261902098139e-99,4.06128353509251e-96,"CYP24A1"
"ENSG00000174371.17",418.654391402061,3.58930982276773,0.170062393527742,21.1058409111607,7.02932244743864e-99,4.06128353509251e-96,"EXO1"
"ENSG00000060718.22",3163.78847129413,6.25794650402756,0.297070104627292,21.0655545830802,1.64686365852558e-98,9.39140042154003e-96,"COL11A1"
"ENSG00000076382.17",1131.92817162975,3.0763172156021,0.146128527505203,21.052133133228,2.18616172961768e-98,1.23069694291683e-95,"SPAG5"
"ENSG00000162849.16",2082.61757589964,3.14157632340652,0.149321954295667,21.0389445960907,2.88732685531587e-98,1.60484205337873e-95,"KIF26B"
"ENSG00000135451.13",538.902233403349,3.79309243825183,0.180328239891538,21.0343784231092,3.1791193794572e-98,1.74493914939957e-95,"TROAP"
"ENSG00000137135.18",258.734565948089,2.73241130327211,0.130325523151015,20.9660489918458,1.33935875788002e-97,7.26064729117427e-95,"ARHGEF39"
"ENSG00000095370.20",1108.70538104852,-2.30071805753218,0.109818607455134,-20.950166013279,1.86978334318593e-97,1.00124617804017e-94,"SH2D3C"
"ENSG00000035499.13",331.532204828612,3.62043680244606,0.172988755734392,20.9287406402582,2.93139012052419e-97,1.55081132761707e-94,"DEPDC1B"
"ENSG00000228401.5",30.645600607256,-3.63746602207054,0.173814080980075,-20.9273380013873,3.0189163883742e-97,1.5781026025418e-94,"AL590226.1"
"ENSG00000091651.9",338.951026729842,3.05000658869507,0.145853026493189,20.9115070288755,4.20732097825101e-97,2.17345251947061e-94,"ORC6"
"ENSG00000166851.15",895.071990837019,3.18451736814943,0.152450653535342,20.8888403840865,6.7641900049036e-97,3.45366957110834e-94,"PLK1"
"ENSG00000024526.17",425.933285337636,3.77525764283186,0.181000649527486,20.8577021833204,1.29757682425046e-96,6.54903429342964e-94,"DEPDC1"
"ENSG00000088325.16",2464.53853704937,3.62866396872956,0.174015864590663,20.8524893823057,1.4469542429866e-96,7.21997281926611e-94,"TPX2"
"ENSG00000187583.11",323.716772920446,3.1236189422974,0.149808594835692,20.8507325345608,1.5010694225443e-96,7.40583801617081e-94,"PLEKHN1"
"ENSG00000164093.17",328.284921869078,8.216440317457,0.394323508285688,20.8368006086621,2.00819632694432e-96,9.79776674623611e-94,"PITX2"
"ENSG00000186994.11",270.260444893311,-2.86289558782525,0.137485905372525,-20.8231933307496,2.6679937995802e-96,1.2873803048304e-93,"KANK3"
"ENSG00000230316.7",330.121128256892,6.16332435871024,0.296207562135788,20.8074510801478,3.70528305188544e-96,1.76846716095967e-93,"FEZF1-AS1"
"ENSG00000166265.13",769.930218941988,-2.2826163988747,0.109945671618864,-20.761312066814,9.68850606047903e-96,4.5744333453294e-93,"CYYR1"
"ENSG00000089685.15",1773.32213247458,3.66793124290853,0.176762577279038,20.7506096560151,1.21046820569861e-95,5.654431799173e-93,"BIRC5"
"ENSG00000134256.12",243.43332332697,-2.75557569957837,0.133244744259052,-20.6805582831922,5.18374791155879e-95,2.39598285048997e-92,"CD101"
"ENSG00000203995.10",142.167402860372,5.43598457646439,0.26338319743394,20.6390712445801,1.22391724589545e-94,5.59814648617388e-92,"ZYG11A"
"ENSG00000107742.13",6229.72874149105,-3.21572868391465,0.156360423229534,-20.5661293151787,5.51997828177908e-94,2.49878604487546e-91,"SPOCK2"
"ENSG00000103241.7",590.042948848257,-2.75003608262645,0.133782539193791,-20.5560164966139,6.79912460124443e-94,3.04642409429227e-91,"FOXF1"
"ENSG00000173227.14",1328.62163226169,5.69776238422125,0.277358232653856,20.5429719165109,8.89496342239227e-94,3.94523074623479e-91,"SYT12"
"ENSG00000064989.13",2447.28991862407,-2.73692515515034,0.133270276838268,-20.5366509328392,1.0131235980476e-93,4.448625719027e-91,"CALCRL"
"ENSG00000162367.11",187.215292868143,-2.7920912312145,0.136355071568315,-20.4766218014534,3.47970438605022e-93,1.512810094965e-90,"TAL1"
"ENSG00000142748.13",1481.20101969338,-4.53041061189712,0.222180349313197,-20.3906899323073,2.02273387587633e-92,8.70767102840487e-90,"FCN3"
"ENSG00000059573.9",4904.4118774384,1.61513926242454,0.0792606586959095,20.3775654782426,2.64486848542799e-92,1.12753568150624e-89,"ALDH18A1"
"ENSG00000251003.9",168.884709869499,5.39916427867741,0.265842447113955,20.3096395526446,1.0567701963481e-91,4.46180570400432e-89,"ZFPM2-AS1"
"ENSG00000118322.14",731.077147638389,5.50860290617761,0.271322813683568,20.3027634550556,1.2155318199968e-91,5.08323830629139e-89,"ATP10B"
"ENSG00000138180.16",1012.02178498693,3.24283022599595,0.159758111339116,20.2983760812774,1.32904809085638e-91,5.50551902542488e-89,"CEP55"
"ENSG00000101003.10",675.015401004316,3.0304709091098,0.149369463176507,20.2884233809473,1.62730484646174e-91,6.63807762571182e-89,"GINS1"
"ENSG00000111344.11",485.496277467337,4.01792030007726,0.198041630532466,20.2882610553874,1.6326859111293e-91,6.63807762571182e-89,"RASAL1"
"ENSG00000154783.12",1220.23589585057,-2.25307751195115,0.111119043127691,-20.2762501235909,2.08428233035672e-91,8.39640707577648e-89,"FGD5"
"ENSG00000106462.11",914.29701514089,2.5414517103761,0.125457549135754,20.2574634040242,3.05290883498842e-91,1.21866569949401e-88,"EZH2"
"ENSG00000134690.11",846.054624567523,3.03301845591135,0.149897405008292,20.2339623941026,4.91870235013951e-91,1.94576774950113e-88,"CDCA8"
"ENSG00000061656.10",689.575645456888,2.89107506240699,0.142888063600188,20.2331460694747,5.00082072886568e-91,1.96058962682582e-88,"SPAG4"
"ENSG00000123473.16",577.822998645641,2.56019441191273,0.126547848424414,20.2310386449749,5.21919571004526e-91,2.02809631529281e-88,"STIL"
"ENSG00000189129.14",283.542297465979,-2.71876736509484,0.134404812614912,-20.2281995130968,5.52850555358748e-91,2.12944455138619e-88,"PLAC9"
"ENSG00000171115.4",1086.50670343481,-2.45541864556229,0.121531795359854,-20.2039197914573,9.04265694897456e-91,3.45272231851716e-88,"GIMAP8"
"ENSG00000166143.10",600.215143230267,5.99810600809821,0.296915535096315,20.2013882707502,9.51834679971633e-91,3.60302248254779e-88,"PPP1R14D"
"ENSG00000160957.14",889.61638343794,3.01728727105818,0.149516492583154,20.1802972965014,1.45866283382281e-90,5.4743491481333e-88,"RECQL4"
"ENSG00000205213.14",3182.29022862673,2.72356994549093,0.135045727572677,20.1677609091721,1.87957932216192e-90,6.99426508780764e-88,"LGR4"
"ENSG00000171132.14",1039.84681594598,-1.86710727809628,0.0927727030839068,-20.1256104008052,4.40316247196081e-90,1.62472995078823e-87,"PRKCE"
"ENSG00000137834.15",855.158855154132,-2.56449210281452,0.127453098777241,-20.121065140179,4.82597896885606e-90,1.76590613768725e-87,"SMAD6"
"ENSG00000263155.6",128.609271620337,-3.29990512173667,0.164073789659473,-20.1123234161012,5.75633293779068e-90,2.0889304074247e-87,"MYZAP"
"ENSG00000172927.8",909.693070652662,6.28852163345695,0.313526455431758,20.0573875808885,1.73987912294257e-89,6.2621387121646e-87,"MYEOV"
"ENSG00000183317.17",520.81744692524,3.62287309924268,0.180941333094017,20.0223632560518,3.51640050349668e-89,1.25532639112633e-86,"EPHA10"
"ENSG00000227036.8",1129.39578630394,3.16827061516802,0.158265132391494,20.0187531346501,3.7806424661615e-89,1.33877427975122e-86,"LINC00511"
"ENSG00000171877.21",333.381720816798,3.55900167588905,0.178048621984181,19.9889313167796,6.87525232275876e-89,2.4151386359387e-86,"FRMD5"
"ENSG00000065328.17",405.313595166872,3.53032557589024,0.176669635700388,19.9826391326083,7.79900266265161e-89,2.71789053108756e-86,"MCM10"
"ENSG00000118785.14",24431.2379527185,4.80321516076103,0.240463601502759,19.9748117001646,9.12271844408779e-89,3.15416194393618e-86,"SPP1"
"ENSG00000165480.16",309.935295765184,3.19697794103031,0.160241135648646,19.9510439569037,1.46791228603802e-88,5.03562722499447e-86,"SKA3"
"ENSG00000168497.5",3131.19925261162,-3.31533637563822,0.166186955172366,-19.9494381024047,1.51582289355772e-88,5.15967312062942e-86,"CAVIN2"
"ENSG00000111665.12",468.293036471712,3.26747960132806,0.163839702338708,19.9431490333958,1.71895372613476e-88,5.8060967780444e-86,"CDCA3"
"ENSG00000142273.13",868.432206003181,3.19817973320784,0.160392197435071,19.9397463489614,1.83995303495955e-88,6.16735402786825e-86,"CBLC"
"ENSG00000177788.6",730.377614762931,2.17125281656031,0.109032123279982,19.9138818106365,3.08462289992213e-88,1.02610448133016e-85,"AL162595.1"
"ENSG00000176920.13",1013.40676702441,3.17181398233889,0.159322092661819,19.908186801635,3.45598506872638e-88,1.14099476968252e-85,"FUT2"
"ENSG00000170373.8",735.440424023654,6.83427445325037,0.343400922651963,19.9017358499555,3.93077240068549e-88,1.28806131428433e-85,"CST1"
"ENSG00000087128.10",591.635676233285,6.71611568553883,0.338167263037254,19.8603366429321,8.97072971168322e-88,2.91781290103711e-85,"TMPRSS11E"
"ENSG00000108576.10",1086.23493728273,-6.16024948129508,0.310372964831382,-19.847893274602,1.14919028573653e-87,3.71036363578611e-85,"SLC6A4"
"ENSG00000171848.16",2381.83678540047,3.19684110620559,0.161130342630413,19.8400937651963,1.34208191892702e-87,4.30151949343689e-85,"RRM2"
"ENSG00000130052.13",693.586021492221,-2.21639162332444,0.111745985821891,-19.8341945531457,1.50914231860683e-87,4.8019158847845e-85,"STARD8"
"ENSG00000165474.8",1644.80444575273,4.55971359512939,0.229964251154867,19.8279235673839,1.7095264628812e-87,5.40038179749019e-85,"GJB2"
"ENSG00000101280.8",53.6056337087637,-4.23178683081093,0.213441717128449,-19.8264279717364,1.76111107113648e-87,5.52359908097162e-85,"ANGPT4"
"ENSG00000243479.3",71.0765898824741,5.24330720398941,0.264469357733993,19.8257645003366,1.7844892583591e-87,5.55722860528711e-85,"MNX1-AS1"
"ENSG00000134057.15",1804.92861266646,2.97289067036758,0.150014716465938,19.8173268623455,2.110242377408e-87,6.52540442197079e-85,"CCNB1"
"ENSG00000198873.12",1442.62186026837,-2.49663429740158,0.126041864478472,-19.807976561851,2.54092101643437e-87,7.80222670151282e-85,"GRK5"
"ENSG00000173898.14",2973.65365168369,2.50064385361649,0.126299339442929,19.7993422977992,3.01605728207281e-87,9.1968802260984e-85,"SPTBN2"
"ENSG00000075218.19",471.290772555777,3.08921616894712,0.156434539258975,19.7476604820177,8.40209760230027e-87,2.54438693597934e-84,"GTSE1"
"ENSG00000115163.15",280.747402374947,3.6166299023667,0.183257357697361,19.735250730502,1.07412704807152e-86,3.23047388224798e-84,"CENPA"
"ENSG00000022267.19",3064.93084779043,-3.42265765042492,0.173768555306483,-19.6966456007431,2.30387650251325e-86,6.88185151192903e-84,"FHL1"
"ENSG00000029993.15",12653.1357709491,3.48869782043485,0.17719302994892,19.6886853926509,2.69595639503152e-86,7.99861116931311e-84,"HMGB3"
"ENSG00000197256.11",4624.07063815575,-1.64984419995764,0.083857399146794,-19.6744022202449,3.57365870006044e-86,1.05315002362184e-83,"KANK2"
"ENSG00000120279.6",503.696628449521,-2.26272571727326,0.115068835573109,-19.6641054548226,4.37821205011643e-86,1.28164860747075e-83,"MYCT1"
"ENSG00000249751.4",45.1149868737121,-2.25214737205536,0.114593823537792,-19.6533050606573,5.41681923835911e-86,1.57518233613476e-83,"ECSCR"
"ENSG00000258947.7",59.6001475690312,4.50891965408895,0.229432702364415,19.652471542297,5.50651548748341e-86,1.59073088852235e-83,"TUBB3"
"ENSG00000169607.13",415.308180052645,3.15872763288466,0.160732675164962,19.6520566191212,5.5517167837319e-86,1.59330643120044e-83,"CKAP2L"
"ENSG00000088340.17",858.362816540477,4.16400462025912,0.212084179108222,19.6337352355468,7.96391084258978e-86,2.27074886427349e-83,"FER1L4"
"ENSG00000137507.11",2020.99295047135,-2.37882014357626,0.121181507208924,-19.6302241023875,8.53374767460251e-86,2.41752813155998e-83,"LRRC32"
"ENSG00000101331.17",106.878898635871,-2.53340059573795,0.129085276750504,-19.6257904813925,9.3117448190595e-86,2.62101740387758e-83,"CCM2L"
"ENSG00000243364.8",746.029903745826,2.19381013444483,0.111921429313574,19.6013412971912,1.50601520571669e-85,4.21204634923693e-83,"EFNA4"
"ENSG00000198844.12",626.882500753601,-2.46230787025116,0.125667420788232,-19.5938442502175,1.74503023544702e-85,4.84963782522016e-83,"ARHGEF15"
"ENSG00000133121.21",830.881328671665,-2.00925814983537,0.102549516491351,-19.5930533714884,1.77235306890112e-85,4.89459265757537e-83,"STARD13"
"ENSG00000157456.8",882.061899565337,3.03865411106276,0.155095368324314,19.5921654134039,1.80353852977444e-85,4.94958605264973e-83,"CCNB2"
"ENSG00000150048.10",185.27356077449,-2.29053439252526,0.117005849562284,-19.5762382914538,2.46570959313256e-85,6.7248017536926e-83,"CLEC1A"
"ENSG00000094963.14",2488.50574968904,-3.26764711004018,0.166933251701452,-19.5745729310067,2.54763219161423e-85,6.90534132924572e-83,"FMO2"
"ENSG00000085552.17",1218.74197352441,3.2303047772018,0.165355394411535,19.5355270307194,5.47775483662967e-85,1.47563322010067e-82,"IGSF9"
"ENSG00000238018.2",114.304704255053,-3.26323898379562,0.167108963191244,-19.527611933425,6.39612755378541e-85,1.71252415174828e-82,"AC093110.1"
"ENSG00000140297.13",2291.57905224594,5.15134057003159,0.263900094617951,19.5200406331388,7.41792433243071e-85,1.97406701476989e-82,"GCNT3"
"ENSG00000164466.13",2121.35335644598,1.5106657546879,0.0773982042527377,19.5180982462454,7.7053266293675e-85,2.03819814635859e-82,"SFXN1"
"ENSG00000101311.16",1356.1390477607,3.21869354507494,0.164929520030387,19.5155697080906,8.0961594268463e-85,2.12875664929833e-82,"FERMT1"
"ENSG00000248243.1",40.3138327956504,3.95052760379051,0.202525127206284,19.5063578445092,9.69482104764441e-85,2.53392614405992e-82,"LINC02014"
"ENSG00000166123.14",3153.80814043454,3.40430525856391,0.174533555790873,19.5051618763956,9.92424836857405e-85,2.57854287493542e-82,"GPT2"
"ENSG00000176435.7",1501.28099299756,-2.30377967300647,0.118255227761286,-19.4814192710106,1.57842760712913e-84,4.07698566053178e-82,"CLEC14A"
"ENSG00000129810.15",141.363778795621,3.21181619737398,0.164869297608171,19.4809842946453,1.5918951749192e-84,4.08772614799428e-82,"SGO1"
"ENSG00000109674.4",215.472511315137,4.27343806448611,0.219863206671614,19.4368040436564,3.76927499002402e-84,9.62260841929969e-82,"NEIL3"
"ENSG00000178999.13",610.827041477092,3.43148339515632,0.176576385274937,19.4334219143367,4.02605846995193e-84,1.02187414691092e-81,"AURKB"
"ENSG00000144120.13",501.703552533441,1.57178847932871,0.0810819248272077,19.3851895188518,1.02925172814222e-83,2.59738180360488e-81,"TMEM177"
"ENSG00000130307.12",137.617274898872,-2.3130323303123,0.119382033555166,-19.3750454857468,1.25350708170828e-83,3.14522834044632e-81,"USHBP1"
"ENSG00000101210.13",2786.53001791919,6.35377340994955,0.328003200525617,19.3710713790834,1.35410395212586e-83,3.37833548510492e-81,"EEF1A2"
"ENSG00000008300.17",764.676721471342,3.39850467049287,0.175472930844161,19.3676862530501,1.44611634663953e-83,3.58751236050518e-81,"CELSR3"
"ENSG00000051341.14",287.527101209535,3.31251444748326,0.171130805378326,19.3566227901525,1.79259169596441e-83,4.4220618747077e-81,"POLQ"
"ENSG00000106089.12",664.646316315647,3.09462238889886,0.159900082884739,19.3534758273363,1.90547972809514e-83,4.67428015981327e-81,"STX1A"
"ENSG00000093009.11",458.996326058248,3.19264213802941,0.1651127544862,19.3361327413156,2.66745331618903e-83,6.50710417299225e-81,"CDC45"
"ENSG00000135069.14",1228.46843768283,3.48520913097602,0.180271575849136,19.3331040379471,2.82876111288694e-83,6.84478516555335e-81,"PSAT1"
"ENSG00000163815.6",441.869312963976,-3.77771154946595,0.195402717261907,-19.332953002913,2.83705511302826e-83,6.84478516555335e-81,"CLEC3B"
"ENSG00000112742.10",459.656263776229,3.28687413186776,0.170054986019945,19.3283020321571,3.10468448689522e-83,7.44954621964859e-81,"TTK"
"ENSG00000114790.13",1125.31766516979,-2.67662055995088,0.138580330174561,-19.3145777368209,4.05030344055592e-83,9.66569696058752e-81,"ARHGEF26"
"ENSG00000128050.9",5740.1336452551,1.85024804792455,0.095911353277301,19.2912307532047,6.36401514768001e-83,1.51050759532232e-80,"PAICS"
"ENSG00000138160.7",1155.77880461745,2.68323299662055,0.139105307711166,19.2892208124217,6.61629366838607e-83,1.56194330633781e-80,"KIF11"
"ENSG00000096063.16",2005.2764366502,1.60080953883306,0.0830427770305634,19.2769268571533,8.39162982094895e-83,1.97046238202069e-80,"SRPK1"
"ENSG00000215595.2",19.5524653062725,-2.56822364069233,0.133273595566362,-19.2703110453227,9.53612128731281e-83,2.22729300918035e-80,"C20orf202"
